Crew Member
Cashier
Retail salespersons
Cook
Server
Janitor
Cleaner
Dishwasher
Host
Bartender
Barista
Receptionist
Nursing Assistant
Medical Assistant
Registered Nurse
Nurse Practicioner 
Phlebotomist
Physician
Physical Therapist
Project Manager
Software Development
Human Resources
Engineer
Mechanic
Electrician
Welder
Truck Driver
Construction Worker
Hair Stylist
